property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,195.0,452474.56,-12.985207,-38.456074,Brasil
apartment,Northeast,127.0,180989.82,-12.985207,-38.456074,Brasil
apartment,Northeast,128.0,152905.19,-12.985207,-38.456074,Brasil
apartment,Northeast,186.0,234038.56,-12.985207,-38.456074,Brasil
apartment,Northeast,212.0,415028.39,-12.94999,-38.391624,Brasil
apartment,Northeast,98.0,227797.54,-13.004092,-38.5047,Brasil
apartment,Northeast,55.0,140423.14,-13.004092,-38.5047,Brasil
apartment,Northeast,168.0,312051.42,-12.993533,-38.526047,Brasil
apartment,Northeast,180.0,277725.76,-12.964468,-38.417938,Brasil
apartment,Northeast,75.0,85703.4,-12.970389,-38.424129,Brasil
apartment,Northeast,116.0,208450.35,-12.951526,-38.392464,Brasil
apartment,Northeast,143.0,253385.75,-12.951526,-38.392464,Brasil
apartment,Northeast,210.0,327653.99,-12.96049,-38.405239,Brasil
apartment,Northeast,139.0,234038.56,-12.96049,-38.405239,Brasil
apartment,Northeast,75.0,131061.59,-12.983234,-38.443928,Brasil
apartment,Northeast,128.0,234038.56,-12.984901,-38.439594,Brasil
apartment,Northeast,59.0,145790.42,-12.98223,-38.43898,Brasil
apartment,Northeast,70.0,126880.1,-12.981397,-38.441444,Brasil
apartment,Northeast,90.0,131061.59,-13.002345,-38.528343,Brasil
apartment,Northeast,170.0,202833.42,-12.993533,-38.526047,Brasil
apartment,Northeast,230.0,405666.85,-12.993533,-38.526047,Brasil
apartment,Northeast,100.0,227797.54,-12.992472,-38.52298,Brasil
apartment,Northeast,185.0,212194.96,-12.992102,-38.521461,Brasil
apartment,Northeast,67.0,131061.59,-12.982599,-38.499725,Brasil
apartment,Northeast,103.0,186669.16,-12.998506,-38.52309,Brasil
apartment,Northeast,122.0,249641.14,-12.998506,-38.52309,Brasil
apartment,Northeast,230.0,296448.85,-12.998506,-38.52309,Brasil
apartment,Northeast,166.0,187230.85,-12.998506,-38.52309,Brasil
apartment,Northeast,102.0,265243.71,-12.998506,-38.52309,Brasil
apartment,Northeast,164.0,414404.29,-12.998506,-38.52309,Brasil
apartment,Northeast,120.0,98296.19,-12.998506,-38.52309,Brasil
apartment,Northeast,89.0,160706.48,-12.970966,-38.436806,Brasil
apartment,Northeast,109.0,146664.17,-12.968704,-38.435516,Brasil
apartment,Northeast,71.0,106097.48,-12.993493,-38.477962,Brasil
apartment,Northeast,100.0,109217.99,-12.993493,-38.477962,Brasil
apartment,Northeast,100.0,146664.17,-12.99183,-38.477451,Brasil
apartment,Northeast,156.0,390064.28,-13.002883,-38.486099,Brasil
apartment,Northeast,140.0,234038.56,-12.994513,-38.479004,Brasil
house,Northeast,73.0,81133.37,-12.852844,-38.32711,Brasil
apartment,Northeast,71.0,81133.37,-12.852844,-38.32711,Brasil
apartment,Northeast,71.0,78012.85,-12.852844,-38.32711,Brasil
apartment,Northeast,143.0,296448.85,-12.941992,-38.403465,Brasil
apartment,Northeast,158.0,180989.82,-12.941992,-38.403465,Brasil
apartment,Northeast,75.0,77388.75,-12.999527,-38.46265,Brasil
apartment,Northeast,128.0,235843.06,-12.98223,-38.43898,Brasil
house,Northeast,156.0,193471.88,-12.852844,-38.32711,Brasil
house,Northeast,170.0,171628.28,-12.852844,-38.32711,Brasil
apartment,Northeast,136.0,109217.99,-12.852844,-38.32711,Brasil
apartment,Northeast,68.0,101416.71,-12.98516,-38.482758,Brasil
apartment,Northeast,71.0,121700.05,-13.001169,-38.49419,Brasil
apartment,Northeast,165.0,343256.56,-12.993305,-38.45739,Brasil
apartment,Northeast,71.0,170068.02,-13.004092,-38.5047,Brasil
apartment,Northeast,72.0,118579.54,-12.983234,-38.443928,Brasil
apartment,Northeast,83.0,132621.85,-12.937969,-38.381538,Brasil
apartment,Northeast,67.0,99856.45,-12.937969,-38.381538,Brasil
apartment,Northeast,70.0,102976.97,-12.974941,-38.440117,Brasil
apartment,Northeast,67.0,102976.97,-12.931565,-38.40873,Brasil
apartment,Northeast,156.0,321412.96,-13.002883,-38.486099,Brasil
apartment,Northeast,54.0,93615.42,-12.941992,-38.403465,Brasil
apartment,Northeast,195.0,390064.28,-12.950598,-38.40873,Brasil
apartment,Northeast,142.0,262123.19,-12.950598,-38.40873,Brasil
apartment,Northeast,137.0,196592.39,-12.941992,-38.403465,Brasil
apartment,Northeast,128.0,152905.19,-12.985207,-38.456074,Brasil
apartment,Northeast,111.0,174748.79,-12.985207,-38.456074,Brasil
house,Northeast,120.0,121700.05,-12.852844,-38.32711,Brasil
apartment,Northeast,71.0,81133.37,-12.852844,-38.32711,Brasil
apartment,Northeast,186.0,234038.56,-12.985207,-38.456074,Brasil
apartment,Northeast,186.0,411471.01,-13.009664,-38.486431,Brasil
apartment,Northeast,128.0,234038.56,-12.984901,-38.439594,Brasil
apartment,Northeast,122.0,249641.14,-12.998506,-38.52309,Brasil
apartment,Northeast,59.0,145790.42,-12.98223,-38.43898,Brasil
apartment,Northeast,140.0,234038.56,-12.994513,-38.479004,Brasil
apartment,Northeast,180.0,277725.76,-12.964468,-38.417938,Brasil
apartment,Northeast,210.0,246520.62,-12.993533,-38.526047,Brasil
apartment,Northeast,59.0,113898.77,-12.992462,-38.444553,Brasil
apartment,Northeast,71.0,106097.48,-12.993493,-38.477962,Brasil
apartment,Northeast,55.0,140423.14,-13.004092,-38.5047,Brasil
apartment,Northeast,98.0,174748.79,-12.993305,-38.45739,Brasil
apartment,Northeast,127.0,180989.82,-12.985207,-38.456074,Brasil
apartment,Northeast,235.0,165387.25,-13.000443,-38.45739,Brasil
apartment,Northeast,195.0,452474.56,-12.985207,-38.456074,Brasil
apartment,Northeast,170.0,202833.42,-12.993533,-38.526047,Brasil
apartment,Northeast,95.0,187230.85,-12.991933,-38.465279,Brasil
apartment,Northeast,230.0,405666.85,-12.993533,-38.526047,Brasil
apartment,Northeast,185.0,212194.96,-12.992102,-38.521461,Brasil
apartment,Northeast,90.0,184110.34,-13.00525,-38.516327,Brasil
apartment,Northeast,75.0,131061.59,-12.983234,-38.443928,Brasil
apartment,Northeast,166.0,187230.85,-12.998506,-38.52309,Brasil
apartment,Northeast,100.0,227797.54,-12.992472,-38.52298,Brasil
apartment,Northeast,71.0,78012.85,-12.852844,-38.32711,Brasil
house,Northeast,250.0,374461.71,-12.991933,-38.465279,Brasil
apartment,Northeast,158.0,180989.82,-12.941992,-38.403465,Brasil
apartment,Northeast,102.0,265243.71,-12.998506,-38.52309,Brasil
apartment,Northeast,54.0,92679.27,-12.985579,-38.470348,Brasil
apartment,Northeast,128.0,235843.06,-12.98223,-38.43898,Brasil
apartment,Northeast,164.0,414404.29,-12.998506,-38.52309,Brasil
apartment,Northeast,210.0,327653.99,-12.96049,-38.405239,Brasil
apartment,Northeast,139.0,234038.56,-12.96049,-38.405239,Brasil
apartment,Northeast,215.0,374461.71,-13.002785,-38.519222,Brasil
apartment,Northeast,180.0,265243.71,-13.000443,-38.45739,Brasil
apartment,Northeast,212.0,415028.39,-12.94999,-38.391624,Brasil
apartment,Northeast,120.0,98296.19,-12.998506,-38.52309,Brasil
apartment,Northeast,168.0,312051.42,-12.993533,-38.526047,Brasil
apartment,Northeast,142.0,115146.97,-12.992462,-38.444553,Brasil
